location,date,starting_time,title,link
"ABF-huset, Sveavägen 41-",2019-09-17,18:00:00,Bildning och pengar – skyddspatroner och donatorer vid Stockholms högskola,https://www.historia.su.se/om-oss/evenemang/historia-100-%C3%A5r/bildning-och-pengar-skyddspatroner-och-donatorer-vid-stockholms-h%C3%B6gskola-1.437065
"Kulturhuset stadsteatern Skärholmen, Bodholmsgången 13, 127 48 Skärholmen",2019-09-17,18:00:00,100 år av humaniora: Estetik – på vems villkor?,https://www.hum.su.se/om-oss/evenemang/evenemang/humanistiska-fakultetens-100-%C3%A5rsjubileum/100-%C3%A5r-av-humaniora-estetik-p%C3%A5-vems-villkor-1.429976
"Restaurang Cirkeln, ABF-huset, Sveavägen 41",2019-09-18,18:00:00,Afterwork-Jazz med Christer Fellers,https://abfstockholm.se/evenemang/afterwork-jazz-med-christer-fellers/
"Stockholms stadsbibliotek, Rotundan, Sveavägen 73",2019-09-18,18:00:00,Våra barn och andras ungar - ett samtal om barn som flytt till Sverige,https://www.su.se/om-oss/evenemang/%C3%B6ppna-f%C3%B6rel%C3%A4sningar/vetenskap-f%C3%B6r-vetgiriga/v%C3%A5ra-barn-och-andras-ungar-ett-samtal-om-barn-som-flytt-till-sverige-1.439808
Bagarmossens Bibliotek,2019-09-19,18:00:00,Filosofikafé Tema: Vad gör tekniken med oss?,https://abfstockholm.se/evenemang/vad-gor-tekniken-med-oss/
"Romanska och klassiska institutionen, Södra huset, B, 5th floor, LAI Library (Latinamerikainstitutet)",2019-09-20,14:00:00,Escrituras contemporáneas en español: experiencias poliestéticas y “barroco frío”,https://www.su.se/romklass/om-oss/evenemang/registrera-evenemang/escrituras-contempor%C3%A1neas-en-espa%C3%B1ol-experiencias-poliest%C3%A9ticas-y-barroco-fr%C3%ADo-1.439905
"ABF-huset, Sveavägen 41",2019-09-21,10:00:00,Preppingforum: Vad gör vi när krisen kommer?,https://abfstockholm.se/evenemang/preppingforum-vad-gor-vi-nar-krisen-kommer/
"ABF-huset, Sveavägen 41",2019-09-23,18:15:00,"Lön efter kön, sexuella trakasserier och feministiska teorier om makt",https://abfstockholm.se/evenemang/lon-efter-kon-sexuella-trakasserier-och-feministiska-teorier-om-makt/
"Bio Rio, salong 1",2019-09-23,18:30:00,Live på bio: Kung Lear,https://abfstockholm.se/evenemang/live-pa-bio-kung-lear/
"ABF-huset, Sveavägen 41, scen Hjärtat, entréplan",2019-09-23,18:15:00,"Statsvetare pratar politik: Lön efter kön, sexuella trakasserier och feministiska teorier om makt",https://www.statsvet.su.se/om-oss/evenemang/statsvetare-pratar-politik/statsvetare-pratar-politik-l%C3%B6n-efter-k%C3%B6n-sexuella-trakasserier-och-feministiska-teorier-om-makt-1.441879
"ABF-huset, Sveavägen 41",2019-09-24,18:00:00,Israel och Palestina – är en rättvis fred möjlig?,https://abfstockholm.se/evenemang/israel-och-palestina/
Lokal B419,2019-09-25,15:00:00,"La escritora frente a la violencia: memoria, imaginación y representación",https://www.su.se/romklass/om-oss/evenemang/registrera-evenemang/la-escritora-frente-a-la-violencia-memoria-imaginaci%C3%B3n-y-representaci%C3%B3n-1.441189
Stockholms universitet,2019-09-25,17:00:00,Öppen föreläsning för alla religionsdidaktiskt intresserade,https://www.su.se/hsd/om-oss/evenemang/%C3%B6ppen-f%C3%B6rel%C3%A4sning-f%C3%B6r-alla-religionsdidaktiskt-intresserade-1.438170
"Kungstensgatan 45, 10239 Stockholm",2019-09-26,18:00:00,Förhistoriskt DNA,http://www.folkuniversitetet.se/Kurser--Utbildningar/Miljo-Natur/Biologi/Stockholm/forhistoriskt-dna/
"Bio Rio, salong 1",2019-09-27,17:30:00,Live på bio: Gauguin på Tahiti – ett förlorat paradis,https://abfstockholm.se/evenemang/live-pa-bio-gauguin-pa-tahiti-ett-forlorat-paradis/
"Stockholms universitet, Hus B, Sal C512",2019-09-27,00:00:00,Memoria histórica y justicia en la era global,https://www.su.se/romklass/om-oss/evenemang/memoria-hist%C3%B3rica-y-justicia-en-la-era-global-1.443694
Farsta Bibliotek,2019-09-30,18:00:00,Filosofikafé Tema: Att se om sitt hus,https://abfstockholm.se/evenemang/filosofikafe-farsta-bibliotek-3/
"ABF-huset, Sveavägen 41",2019-10-01,18:00:00,Slaget på Brunkeberg – maktkamp och mytbildning på medeltiden,https://www.historia.su.se/om-oss/evenemang/historia-100-%C3%A5r/slaget-p%C3%A5-brunkeberg-maktkamp-och-mytbildning-p%C3%A5-medeltiden-1.437066
"Kungstensgatan 45, 10239 Stockholm",2019-10-02,18:00:00,Ge ut din egen musik,http://www.folkuniversitetet.se/Kurser--Utbildningar/Dans-Musik-Teater/Musik/Musikproduktion/Stockholm/ge-ut-din-egen-musik/
